model,lang,prompt,mse,rsa,cka,jaccard
Mimo-7B-SFT,中文,参数格式,0.18953328703703703,-0.44220572018909043,0.072583074709998,0.2727272727272727
Mimo-7B-SFT,中文,言语格式,0.19689439814814816,0.46381682852195866,0.4845547454200096,0.07692307692307693
Mimo-7B-SFT,英文,参数格式,0.23545298611111112,-0.04312753760799665,0.22330305296184758,0.08333333333333333
Mimo-7B-SFT,英文,言语格式,0.17540668981481483,0.1524679007085122,0.48680388216149073,0.23076923076923078
Mimo-VL-7B-SFT,中文,参数格式,0.15453791666666664,-0.1777404595594786,0.3892556755117904,0.1875
Mimo-VL-7B-SFT,中文,言语格式,0.13508884259259257,-0.027003586314409644,0.22038832401616135,0.0
Mimo-VL-7B-SFT,英文,参数格式,0.17126780092592594,-0.13249823974015484,0.4152579961553825,0.07142857142857142
Mimo-VL-7B-SFT,英文,言语格式,0.10355483796296294,0.07554347719896962,0.3659320370232604,0.16666666666666666
Mimo-embodied-7B,中文,参数格式,0.21307495370370372,0.06581552376390262,0.2884499989430048,0.3333333333333333
Mimo-embodied-7B,中文,言语格式,0.1889453240740741,0.12094572158776769,0.26756939781911554,0.21428571428571427
Mimo-embodied-7B,英文,参数格式,0.21774465277777777,0.014285714285714282,0.3195723764906086,0.21428571428571427
Mimo-embodied-7B,英文,言语格式,0.11292983796296295,0.20549918490988958,0.5218397545237651,0.16666666666666666
Qwen2.5-7B-Instruct,中文,参数格式,0.22500087962962964,0.14655948658340096,0.386817685551321,0.15384615384615385
Qwen2.5-7B-Instruct,中文,言语格式,0.14967217592592597,0.13818928755909074,0.36614118222784414,0.07692307692307693
Qwen2.5-7B-Instruct,英文,参数格式,0.23866131944444444,-0.24237335394474352,0.40095203554822717,0.0
Qwen2.5-7B-Instruct,英文,言语格式,0.07074002314814815,0.6219209871725783,0.6181409210894312,0.18181818181818182
Qwen2.5-VL-7B-Instruct,中文,参数格式,0.23300550925925925,-0.5278353041463304,0.3021000859657708,0.15384615384615385
Qwen2.5-VL-7B-Instruct,中文,言语格式,0.17971384259259263,0.15177198330961184,0.3734242469985345,0.0
Qwen2.5-VL-7B-Instruct,英文,参数格式,0.20111965277777777,0.5129582030419033,0.6771608216557022,0.26666666666666666
Qwen2.5-VL-7B-Instruct,英文,言语格式,0.07457335648148149,0.4654180100196305,0.6403242290348801,0.3076923076923077
RoboBrain2.0-7B,中文,参数格式,0.12167217592592593,0.504099801706925,0.5652922525047732,0.25
RoboBrain2.0-7B,中文,言语格式,0.16255180555555557,-0.20055583508770133,0.16803497342074092,0.15384615384615385
RoboBrain2.0-7B,英文,参数格式,0.18524928240740746,0.7799654698463168,0.8487993656117202,0.26666666666666666
RoboBrain2.0-7B,英文,言语格式,0.0721057638888889,-0.12432936985198713,0.47761648322022476,0.13333333333333333
