Model,Language,Model_Dimension,Human_Dimension,Pearson_r,P_value,Significant
Mimo-7B,Chinese,FORCE,FORCE,,,
Mimo-7B,Chinese,FORCE,HAND,,,
Mimo-7B,Chinese,FORCE,ARM,,,
Mimo-7B,Chinese,FORCE,HD,,,
Mimo-7B,Chinese,FORCE,VD,,,
Mimo-7B,Chinese,HAND,FORCE,-0.600827103939663,0.20720659619166923,
Mimo-7B,Chinese,HAND,HAND,-0.0386830349386047,0.9420043897976939,
Mimo-7B,Chinese,HAND,ARM,0.040820917229250776,0.93880263506839,
Mimo-7B,Chinese,HAND,HD,-0.041473409837347326,0.9378255532831213,
Mimo-7B,Chinese,HAND,VD,0.035951690376770276,0.9460956986469069,
Mimo-7B,Chinese,ARM,FORCE,,,
Mimo-7B,Chinese,ARM,HAND,,,
Mimo-7B,Chinese,ARM,ARM,,,
Mimo-7B,Chinese,ARM,HD,,,
Mimo-7B,Chinese,ARM,VD,,,
Mimo-7B,Chinese,HD,FORCE,,,
Mimo-7B,Chinese,HD,HAND,,,
Mimo-7B,Chinese,HD,ARM,,,
Mimo-7B,Chinese,HD,HD,,,
Mimo-7B,Chinese,HD,VD,,,
Mimo-7B,Chinese,VD,FORCE,,,
Mimo-7B,Chinese,VD,HAND,,,
Mimo-7B,Chinese,VD,ARM,,,
Mimo-7B,Chinese,VD,HD,,,
Mimo-7B,Chinese,VD,VD,,,
Mimo-VL,Chinese,FORCE,FORCE,0.3436648931092035,0.5047970274488954,
Mimo-VL,Chinese,FORCE,HAND,0.40577579473106207,0.4247426108614194,
Mimo-VL,Chinese,FORCE,ARM,0.7845266296375263,0.06464107786686263,
Mimo-VL,Chinese,FORCE,HD,0.658238278963669,0.1552425429198652,
Mimo-VL,Chinese,FORCE,VD,0.7984267438068022,0.056852526559375345,
Mimo-VL,Chinese,HAND,FORCE,0.06556644983468543,0.9017912589990541,
Mimo-VL,Chinese,HAND,HAND,0.4937176827690359,0.319597083543469,
Mimo-VL,Chinese,HAND,ARM,0.834787757338178,0.03868788657442108,*
Mimo-VL,Chinese,HAND,HD,0.2331478174640068,0.6566149872356356,
Mimo-VL,Chinese,HAND,VD,0.417039608370536,0.41070677611544193,
Mimo-VL,Chinese,ARM,FORCE,-0.5352208268792851,0.2738287955802615,
Mimo-VL,Chinese,ARM,HAND,-0.359417122375615,0.48408918839039716,
Mimo-VL,Chinese,ARM,ARM,-0.11565726444021254,0.8272876539843859,
